,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Share,Seed,WL,SS,MPG
67,Predrag Drobnjak,C,26,SEA,64,12,1174,5.9,12.7,0.461,0.0,0.1,0.0,5.9,12.6,0.464,1.7,2.2,0.753,2.3,4.4,6.7,1.6,0.6,1.0,1.6,3.3,13.4,2002,12.7,0.49,19.7,0.8,0.8,1.6,0.065,-2.0,-1.5,-3.4,-0.4,,7.0,0.549,147,18.34375
68,Alton Ford,PF,20,PHO,53,0,452,4.9,9.4,0.517,0.0,0.0,,4.9,9.4,0.517,3.3,4.5,0.737,2.5,6.0,8.5,0.6,0.5,0.6,2.5,7.9,13.1,2002,10.0,0.573,17.3,0.3,0.5,0.8,0.083,-5.6,-0.8,-6.4,-0.5,,10.0,0.439,163,8.528301886792454
69,Pau Gasol,PF,21,MEM,82,79,3007,6.6,12.7,0.518,0.0,0.1,0.2,6.6,12.7,0.519,4.0,5.7,0.709,2.8,5.9,8.7,2.7,0.5,2.0,2.7,2.3,17.3,2002,19.5,0.566,22.6,4.8,2.8,7.6,0.121,1.5,0.2,1.7,2.8,0.929,13.0,0.28,51,36.670731707317074
70,Eddie Griffin,PF,19,HOU,73,24,1896,4.6,12.6,0.366,1.7,5.2,0.33,2.9,7.5,0.392,1.2,1.6,0.744,2.2,5.7,7.9,1.0,0.3,2.5,0.9,2.2,12.2,2002,13.8,0.456,18.4,1.0,1.4,2.4,0.061,-0.3,-0.6,-0.9,0.5,,11.0,0.341,176,25.972602739726028
71,Trenton Hassell,SG,22,CHI,78,47,2237,4.3,10.1,0.425,1.0,2.7,0.364,3.3,7.5,0.447,1.4,1.8,0.763,1.0,3.1,4.1,2.8,0.9,0.7,1.6,3.0,11.0,2002,10.4,0.502,16.0,0.6,0.9,1.5,0.033,-1.7,-1.0,-2.7,-0.4,,15.0,0.256,218,28.67948717948718
72,Brendan Haywood,C,22,WAS,62,2,1266,3.1,6.3,0.493,0.0,0.0,,3.1,6.3,0.493,2.8,4.5,0.606,4.1,5.1,9.2,0.8,0.6,2.6,1.4,4.5,9.0,2002,13.7,0.54,12.4,1.7,1.4,3.1,0.116,-1.7,0.5,-1.3,0.2,,10.0,0.451,279,20.419354838709676
73,Steven Hunter,C,20,ORL,53,21,516,4.7,10.3,0.456,0.0,0.0,,4.7,10.3,0.456,3.8,6.6,0.585,2.8,4.0,6.8,0.3,0.3,3.0,1.1,5.7,13.2,2002,12.9,0.502,17.7,0.5,0.5,1.0,0.094,-3.7,-0.4,-4.0,-0.3,,5.0,0.537,153,9.735849056603774
74,Richard Jefferson,SF,21,NJN,79,9,1917,5.1,11.1,0.457,0.2,1.1,0.232,4.8,10.0,0.48,3.5,5.0,0.713,1.6,3.9,5.5,2.6,1.2,0.9,2.0,4.0,13.9,2002,13.4,0.524,19.1,1.8,2.9,4.7,0.117,-1.3,0.9,-0.4,0.8,0.024,1.0,0.634,130,24.265822784810126
75,Joe Johnson,SG,20,TOT,77,60,1916,4.7,11.0,0.43,0.7,2.4,0.292,4.0,8.5,0.469,0.8,1.0,0.774,1.4,3.4,4.8,3.4,1.1,0.4,1.3,2.1,10.9,2002,11.8,0.478,16.0,1.1,1.9,3.0,0.075,-1.2,0.5,-0.7,0.6,,,,221,24.883116883116884
76,Andrei Kirilenko,SF,20,UTA,82,40,2151,4.8,10.6,0.45,0.4,1.7,0.25,4.4,8.9,0.488,4.8,6.2,0.768,2.5,4.2,6.7,1.6,1.9,2.7,1.8,2.6,14.7,2002,18.8,0.553,19.0,4.0,3.3,7.3,0.164,1.8,1.9,3.7,3.1,0.016,8.0,0.537,108,26.23170731707317
77,Terence Morris,SF,23,HOU,68,12,1110,3.6,9.4,0.384,0.5,2.5,0.192,3.1,6.8,0.455,0.6,0.9,0.643,2.5,4.3,6.8,2.1,0.7,0.9,1.5,2.3,8.3,2002,9.5,0.423,14.5,-0.2,0.4,0.2,0.009,-2.2,-1.1,-3.3,-0.4,,11.0,0.341,286,16.323529411764707
78,Troy Murphy,PF,21,GSW,82,4,1448,4.4,10.5,0.421,0.1,0.2,0.333,4.4,10.3,0.423,3.0,3.9,0.776,2.5,5.5,8.0,1.7,0.9,0.5,2.1,5.4,11.9,2002,10.3,0.488,16.7,0.7,0.7,1.4,0.046,-3.3,-1.0,-4.3,-0.8,,14.0,0.256,181,17.658536585365855
79,Tony Parker,PG,19,SAS,77,72,2267,4.3,10.1,0.419,1.0,3.0,0.323,3.3,7.1,0.46,1.7,2.5,0.675,0.5,2.6,3.1,5.3,1.4,0.1,2.4,2.6,11.2,2002,11.7,0.497,17.7,0.8,2.9,3.8,0.08,-1.7,0.6,-1.1,0.6,,2.0,0.707,213,29.441558441558442
80,Vladimir Radmanović,PF,21,SEA,61,16,1230,4.3,10.4,0.412,1.9,4.6,0.42,2.3,5.8,0.406,1.4,2.1,0.681,1.3,5.4,6.7,2.4,1.6,0.7,2.1,3.5,11.9,2002,12.7,0.528,17.3,0.6,1.5,2.1,0.084,-0.2,0.8,0.6,0.8,,7.0,0.549,183,20.16393442622951
81,Željko Rebrača,C,29,DET,74,4,1179,5.8,11.4,0.505,0.0,0.0,,5.8,11.4,0.505,4.1,5.3,0.771,2.6,6.3,8.9,1.2,0.9,2.2,2.6,5.9,15.7,2002,16.2,0.569,21.4,1.4,1.9,3.3,0.134,-2.9,0.6,-2.3,-0.1,,2.0,0.61,82,15.932432432432432
82,Jason Richardson,SG,21,GSW,80,75,2629,6.4,14.9,0.426,1.1,3.4,0.333,5.2,11.6,0.453,1.9,2.9,0.671,1.7,3.0,4.7,3.2,1.5,0.4,2.2,2.7,15.8,2002,13.8,0.487,21.5,2.0,0.9,2.9,0.052,0.1,-1.0,-0.9,0.7,0.016,14.0,0.256,77,32.8625
83,Will Solomon,SG,23,MEM,62,4,872,4.7,13.7,0.341,1.9,6.7,0.284,2.8,7.0,0.396,2.0,3.0,0.671,0.5,2.3,2.8,3.8,1.4,0.3,2.6,3.1,13.3,2002,8.8,0.442,22.1,-0.9,0.5,-0.5,-0.027,-3.3,-1.1,-4.4,-0.5,,13.0,0.28,149,14.064516129032258
84,Etan Thomas,C,23,WAS,47,0,618,4.7,8.8,0.536,0.0,0.0,,4.7,8.8,0.536,2.4,4.3,0.554,3.2,7.3,10.5,0.3,1.0,2.0,1.5,4.4,11.8,2002,15.7,0.553,15.6,0.8,0.9,1.6,0.127,-1.2,0.0,-1.2,0.1,,10.0,0.451,188,13.148936170212766
85,Jamaal Tinsley,PG,23,IND,80,78,2442,4.3,11.2,0.38,0.6,2.6,0.24,3.6,8.6,0.422,1.9,2.7,0.704,1.1,3.2,4.4,9.5,2.0,0.6,4.0,3.7,11.1,2002,13.4,0.446,20.7,-1.3,2.9,1.7,0.033,-0.6,0.2,-0.4,1.0,0.016,8.0,0.512,215,30.525
86,Óscar Torres,SG,25,HOU,65,13,1075,4.5,11.4,0.396,1.2,4.2,0.294,3.3,7.2,0.456,2.7,3.5,0.781,1.6,2.5,4.1,1.3,0.8,0.3,1.6,2.1,13.0,2002,11.4,0.502,18.8,0.7,0.1,0.9,0.039,-1.1,-1.6,-2.7,-0.2,,11.0,0.341,164,16.53846153846154
87,Gerald Wallace,SF,19,SAC,54,1,430,6.3,14.7,0.429,0.0,0.6,0.0,6.3,14.1,0.446,1.9,3.9,0.5,4.1,3.3,7.5,2.3,1.6,0.5,1.8,3.9,14.5,2002,13.3,0.443,22.0,0.1,0.6,0.6,0.071,-2.0,-0.4,-2.4,0.0,,1.0,0.744,117,7.962962962962963
88,Earl Watson,PG,22,SEA,64,0,964,3.6,7.9,0.453,0.6,1.6,0.364,3.0,6.3,0.476,0.9,1.3,0.639,1.2,1.9,3.1,4.7,2.2,0.2,1.9,3.5,8.6,2002,11.6,0.507,13.4,0.7,0.8,1.5,0.076,-1.8,1.6,-0.2,0.4,,7.0,0.549,285,15.0625
89,Loren Woods,C,23,MIN,60,0,516,2.3,6.7,0.344,0.0,0.1,0.0,2.3,6.6,0.351,3.1,4.2,0.733,3.2,5.3,8.5,1.5,1.2,2.4,2.5,4.2,7.7,2002,9.9,0.449,13.9,-0.2,0.7,0.5,0.047,-3.8,1.2,-2.5,-0.1,,5.0,0.61,292,8.6
90,Mike Batiste,PF,25,MEM,75,2,1248,5.7,13.5,0.422,0.5,2.3,0.222,5.2,11.1,0.464,2.0,2.5,0.784,2.4,5.0,7.4,1.5,1.2,0.5,2.0,3.5,13.9,2003,12.2,0.476,20.7,0.0,0.7,0.8,0.029,-2.1,-1.4,-3.5,-0.5,,12.0,0.341,117,16.64
91,Lonny Baxter,C,24,CHI,55,0,682,5.1,10.9,0.466,0.0,0.1,0.0,5.1,10.8,0.471,3.7,5.4,0.68,3.4,5.3,8.7,0.8,0.5,1.2,2.4,7.1,13.8,2003,11.3,0.521,19.3,0.4,0.5,0.9,0.063,-4.0,-1.4,-5.4,-0.6,,12.0,0.366,120,12.4
92,Carlos Boozer,PF,21,CLE,81,54,2049,5.8,10.9,0.536,0.0,0.0,0.0,5.8,10.8,0.536,2.6,3.4,0.771,3.5,7.2,10.7,1.9,1.0,0.9,1.8,3.9,14.2,2003,17.9,0.577,17.1,4.2,1.8,5.9,0.139,0.6,-0.6,0.0,1.0,0.002,15.0,0.207,107,25.296296296296298
93,J.R. Bremer,PG,22,BOS,64,41,1503,4.1,11.1,0.369,2.4,6.9,0.353,1.7,4.3,0.393,2.0,2.7,0.766,0.4,3.0,3.5,3.9,0.9,0.1,1.4,1.9,12.6,2003,12.7,0.515,17.7,1.8,1.2,3.0,0.096,0.0,-0.5,-0.5,0.6,,6.0,0.537,167,23.484375
94,Pat Burke,C,29,ORL,62,8,783,5.2,13.6,0.382,0.0,0.3,0.143,5.1,13.3,0.388,1.8,2.7,0.69,2.6,4.1,6.7,1.1,0.9,1.1,2.2,4.6,12.3,2003,8.3,0.415,21.1,-1.0,0.6,-0.3,-0.021,-4.9,-1.7,-6.6,-0.9,,8.0,0.512,174,12.629032258064516
95,Caron Butler,SF,22,MIA,78,78,2858,5.4,13.0,0.416,0.4,1.3,0.318,5.0,11.7,0.427,3.9,4.7,0.824,1.7,3.3,5.0,2.7,1.7,0.4,2.4,2.9,15.1,2003,15.1,0.502,22.9,1.6,3.6,5.1,0.086,-0.4,1.0,0.5,1.8,0.306,13.0,0.305,88,36.64102564102564
96,Rasual Butler,SG,23,MIA,72,28,1514,4.9,13.6,0.362,1.2,4.1,0.292,3.7,9.5,0.392,1.8,2.5,0.731,0.7,3.7,4.4,2.2,0.5,1.0,1.8,2.5,12.8,2003,9.5,0.437,21.6,-1.4,1.4,0.1,0.002,-1.9,-0.6,-2.5,-0.2,,13.0,0.305,153,21.02777777777778
97,Dan Dickau,PG,24,ATL,50,0,515,4.9,11.9,0.412,1.5,4.3,0.361,3.4,7.6,0.44,1.5,1.8,0.808,0.6,2.4,3.0,5.9,1.0,0.1,3.7,4.6,12.8,2003,9.9,0.504,20.9,-0.1,0.1,0.0,0.001,-2.7,-2.4,-5.1,-0.4,,11.0,0.427,157,10.3
98,Juan Dixon,PG,24,WAS,42,3,647,5.8,15.1,0.384,1.4,4.7,0.298,4.4,10.4,0.422,2.1,2.6,0.804,0.7,3.3,4.0,2.2,1.4,0.2,2.3,3.0,15.0,2003,11.0,0.464,24.3,-0.5,0.5,0.1,0.005,-2.6,-1.2,-3.8,-0.3,,9.0,0.451,91,15.404761904761905
99,Mike Dunleavy,SF,22,GSW,82,3,1305,4.6,11.5,0.403,1.4,4.1,0.347,3.2,7.4,0.434,2.2,2.8,0.78,1.8,4.1,5.9,2.9,1.5,0.5,2.4,3.3,12.9,2003,12.5,0.505,17.8,1.1,0.4,1.5,0.055,-0.3,-0.5,-0.8,0.4,,11.0,0.463,152,15.914634146341463
100,Melvin Ely,C,24,LAC,52,7,802,4.1,8.3,0.495,0.0,0.0,,4.1,8.3,0.495,2.3,3.3,0.703,2.9,4.9,7.8,0.7,0.4,1.4,2.2,4.3,10.6,2003,10.8,0.54,15.1,0.4,0.4,0.8,0.048,-3.1,-1.1,-4.2,-0.4,,13.0,0.329,233,15.423076923076923
101,Reggie Evans,PF,22,SEA,67,60,1365,1.7,3.7,0.471,0.0,0.0,,1.7,3.7,0.471,2.1,4.1,0.519,4.4,7.3,11.7,0.9,1.0,0.3,1.4,4.6,5.6,2003,10.4,0.51,8.9,1.3,1.7,3.0,0.105,-2.4,-0.3,-2.8,-0.3,,10.0,0.488,305,20.37313432835821
102,Dan Gadzuric,C,24,MIL,49,30,760,3.3,6.9,0.483,0.0,0.0,0.0,3.3,6.8,0.486,1.4,2.7,0.518,3.1,6.2,9.3,0.4,1.0,2.5,1.3,5.9,8.0,2003,11.2,0.498,12.0,0.4,0.7,1.2,0.075,-3.6,0.1,-3.5,-0.3,,7.0,0.512,283,15.510204081632653
103,Gordan Giriček,SG-SF,25,TOT,76,62,2148,5.9,13.5,0.436,1.4,4.2,0.341,4.4,9.3,0.478,2.5,3.1,0.82,0.6,3.4,4.0,2.3,0.9,0.1,2.4,2.7,15.7,2003,12.1,0.529,21.5,0.9,0.7,1.6,0.036,-1.1,-1.8,-2.9,-0.5,,,,74,28.263157894736842
104,Drew Gooden,SF-PF,21,TOT,70,47,1873,6.8,14.9,0.457,0.3,0.9,0.292,6.6,14.0,0.468,2.9,4.1,0.712,3.1,5.6,8.7,1.6,1.0,0.7,2.9,3.3,16.8,2003,15.0,0.503,24.5,0.4,1.3,1.7,0.043,-1.1,-1.9,-3.0,-0.4,0.005,,,54,26.757142857142856
105,Junior Harrington,PG,22,DEN,82,51,2003,3.0,8.4,0.362,0.1,0.5,0.25,2.9,7.9,0.369,1.3,2.0,0.652,0.8,3.7,4.5,5.0,1.4,0.3,2.8,4.5,7.5,2003,6.4,0.405,15.0,-2.8,2.4,-0.4,-0.009,-6.0,0.9,-5.1,-1.6,,14.0,0.207,292,24.426829268292682
106,Juaquin Hawkins,SG,29,HOU,58,10,685,3.0,7.8,0.385,0.5,1.3,0.417,2.5,6.5,0.379,0.5,1.1,0.5,0.8,3.3,4.1,2.5,1.5,0.3,1.5,3.0,7.0,2003,7.3,0.427,12.5,-0.3,0.7,0.4,0.027,-3.8,1.6,-2.3,-0.1,,9.0,0.524,299,11.810344827586206
107,Nenê,C,20,DEN,80,53,2258,5.1,9.9,0.519,0.0,0.0,0.0,5.1,9.8,0.521,3.1,5.4,0.578,3.3,4.5,7.8,2.4,2.0,1.0,2.9,4.7,13.4,2003,15.4,0.545,18.7,1.3,3.8,5.0,0.107,-1.1,1.9,0.8,1.6,0.003,14.0,0.207,130,28.225
108,Ryan Humphrey,PF,23,TOT,48,1,444,2.8,9.7,0.292,0.0,0.0,,2.8,9.7,0.292,1.9,3.2,0.59,2.8,5.3,8.0,0.9,0.7,1.5,1.9,6.1,7.5,2003,4.1,0.339,16.2,-0.9,0.4,-0.5,-0.052,-7.8,-1.5,-9.3,-0.8,,,,293,9.25
109,Casey Jacobsen,SF,21,PHO,72,0,1147,3.8,10.3,0.373,1.6,5.2,0.315,2.2,5.1,0.432,2.3,3.3,0.686,0.9,1.7,2.6,2.3,1.1,0.2,1.7,2.8,11.6,2003,9.2,0.493,16.7,0.5,0.7,1.2,0.051,-1.9,-0.3,-2.3,-0.1,,8.0,0.537,200,15.930555555555555
110,Marko Jarić,SF,24,LAC,66,12,1379,4.7,11.6,0.401,1.4,4.3,0.319,3.3,7.3,0.45,2.1,2.7,0.752,0.9,3.3,4.2,5.0,2.5,0.3,2.7,3.3,12.8,2003,14.4,0.498,19.5,0.6,1.3,1.9,0.067,-0.8,1.2,0.4,0.8,,13.0,0.329,155,20.893939393939394
111,Chris Jefferies,SF,22,TOR,51,10,666,4.1,10.5,0.387,1.0,2.9,0.333,3.1,7.6,0.407,1.6,2.3,0.674,0.9,2.3,3.2,1.2,1.0,0.9,2.4,3.0,10.6,2003,6.8,0.463,17.7,-0.8,0.2,-0.5,-0.039,-4.2,-1.7,-5.8,-0.7,,14.0,0.293,232,13.058823529411764
112,Mehmet Okur,PF,23,DET,72,9,1366,4.7,11.1,0.426,1.0,3.0,0.339,3.7,8.2,0.457,2.5,3.5,0.733,3.1,5.7,8.8,1.9,0.7,1.0,1.7,4.4,13.0,2003,14.8,0.514,19.3,1.7,2.1,3.8,0.134,-0.6,0.0,-0.5,0.5,,1.0,0.61,147,18.97222222222222
113,Smush Parker,PG,21,CLE,66,18,1103,4.4,11.0,0.402,1.2,3.9,0.322,3.2,7.2,0.445,3.2,3.9,0.831,0.9,2.9,3.9,5.3,1.6,0.4,4.3,3.5,13.3,2003,11.3,0.523,20.6,-0.4,0.5,0.1,0.005,-2.2,-1.2,-3.4,-0.4,,15.0,0.207,135,16.71212121212121
114,Tayshaun Prince,SF,22,DET,42,5,435,4.4,9.8,0.449,1.7,3.9,0.426,2.7,5.9,0.465,0.9,1.4,0.647,0.4,3.3,3.7,2.0,0.8,1.2,1.7,2.1,11.3,2003,11.7,0.546,16.2,0.2,0.6,0.8,0.084,-0.6,0.5,0.0,0.2,,1.0,0.61,211,10.357142857142858
115,Igor Rakočević,PG,24,MIN,42,0,244,3.2,8.6,0.379,0.7,1.8,0.417,2.5,6.8,0.37,4.3,5.3,0.806,0.6,1.9,2.5,4.9,0.6,0.0,3.4,3.7,11.5,2003,8.4,0.528,18.0,0.0,0.1,0.1,0.022,-3.0,-1.8,-4.9,-0.2,,4.0,0.622,205,5.809523809523809
116,Kareem Rush,PG,22,LAL,76,0,872,4.0,10.1,0.393,0.8,2.8,0.279,3.2,7.3,0.438,0.7,0.9,0.696,1.1,2.8,3.9,2.8,0.4,0.5,2.6,2.9,9.4,2003,5.8,0.447,16.1,-0.9,0.3,-0.6,-0.033,-3.7,-2.3,-6.0,-0.9,,5.0,0.61,255,11.473684210526315
117,John Salmons,PG,23,PHI,64,1,504,3.4,8.3,0.414,0.7,2.2,0.323,2.7,6.1,0.447,1.9,2.5,0.743,1.1,3.1,4.2,3.4,1.2,0.4,2.1,3.8,9.4,2003,9.5,0.502,14.3,0.2,0.4,0.6,0.058,-1.9,0.6,-1.3,0.1,,4.0,0.585,253,7.875
118,Amar'e Stoudemire,PF,20,PHO,82,71,2570,5.5,11.6,0.472,0.0,0.1,0.2,5.5,11.5,0.476,4.5,6.8,0.661,3.5,6.6,10.1,1.1,0.9,1.2,2.6,3.8,15.5,2003,16.2,0.53,21.5,2.6,3.6,6.2,0.116,-0.9,-0.4,-1.4,0.4,0.783,8.0,0.537,77,31.341463414634145
119,Nikoloz Tskitishvili,SF,19,DEN,81,16,1320,3.1,10.7,0.293,1.0,4.1,0.243,2.1,6.6,0.324,1.3,1.8,0.738,1.7,3.2,4.9,2.5,0.8,0.8,2.3,3.7,8.6,2003,4.9,0.374,17.0,-2.3,1.3,-1.0,-0.035,-4.9,-0.7,-5.5,-1.2,,14.0,0.207,272,16.296296296296298
120,Dajuan Wagner,SG,19,CLE,47,24,1385,5.8,15.7,0.369,1.4,4.5,0.316,4.4,11.2,0.39,3.3,4.2,0.8,0.5,1.6,2.1,3.4,1.0,0.2,2.2,2.8,16.3,2003,10.9,0.466,23.8,0.2,0.1,0.3,0.011,-1.9,-2.8,-4.7,-0.9,,15.0,0.207,64,29.46808510638298
121,Chris Wilcox,PF,20,LAC,46,3,479,5.5,10.5,0.521,0.0,0.0,,5.5,10.5,0.521,1.9,3.8,0.5,2.4,5.4,7.8,1.6,0.5,0.9,2.0,4.9,12.9,2003,12.5,0.528,17.7,0.3,0.3,0.6,0.062,-2.0,-1.1,-3.2,-0.1,,13.0,0.329,150,10.41304347826087
122,Mike Wilks,PG-SG,23,TOT,46,7,688,2.6,7.7,0.338,0.5,1.8,0.286,2.1,5.9,0.354,1.9,2.5,0.787,1.0,2.7,3.7,4.8,1.4,0.2,1.5,3.6,7.7,2003,9.3,0.436,13.0,0.3,0.4,0.7,0.049,-2.3,0.6,-1.7,0.0,,,,288,14.956521739130435
123,Jay Williams,PG,21,CHI,75,54,1961,5.0,12.6,0.399,1.2,3.7,0.322,3.8,8.9,0.431,1.9,3.0,0.64,0.5,3.1,3.6,6.4,1.6,0.3,3.1,3.3,13.1,2003,12.2,0.472,21.0,-0.5,1.3,0.8,0.02,-1.3,-0.8,-2.0,0.0,,12.0,0.366,143,26.14666666666667
124,Qyntel Woods,PF,21,POR,53,0,334,6.4,12.7,0.5,0.3,1.0,0.333,6.0,11.7,0.514,0.8,2.2,0.35,1.6,4.1,5.7,1.3,1.6,0.1,2.5,3.9,13.8,2003,11.2,0.505,20.7,-0.1,0.4,0.2,0.034,-3.4,-0.7,-4.1,-0.2,,6.0,0.61,121,6.30188679245283
125,Vincent Yarbrough,SG,21,DEN,59,39,1381,4.4,11.2,0.393,0.5,2.0,0.269,3.8,9.1,0.42,1.3,1.6,0.79,0.9,3.3,4.2,3.4,1.5,0.9,2.1,3.8,10.6,2003,9.5,0.446,17.3,-0.7,1.7,1.0,0.035,-3.3,0.9,-2.4,-0.1,,14.0,0.207,231,23.406779661016948
126,Carmelo Anthony,SF,19,DEN,82,82,2995,7.5,17.6,0.426,0.8,2.6,0.322,6.7,15.0,0.444,4.9,6.3,0.777,2.2,3.8,6.0,2.7,1.2,0.5,3.0,2.7,20.7,2004,17.6,0.509,28.5,3.7,2.4,6.1,0.098,1.6,-1.6,0.1,1.6,0.729,8.0,0.524,13,36.52439024390244
127,Marcus Banks,PG,22,BOS,81,2,1385,4.6,11.5,0.4,0.7,2.2,0.314,3.9,9.3,0.421,2.6,3.4,0.756,0.8,2.7,3.5,4.5,2.3,0.3,3.2,4.4,12.5,2004,11.0,0.48,20.5,-0.6,1.4,0.7,0.026,-3.4,0.4,-3.0,-0.4,,8.0,0.439,163,17.098765432098766
128,Leandro Barbosa,PG,21,PHO,70,46,1500,5.0,11.3,0.447,2.0,5.0,0.395,3.0,6.2,0.488,1.1,1.5,0.77,0.6,2.4,3.0,4.0,2.2,0.2,2.9,4.4,13.2,2004,12.7,0.553,18.6,0.9,1.0,1.9,0.061,-1.3,0.5,-0.8,0.5,,13.0,0.354,140,21.428571428571427
129,Steve Blake,PG,23,WAS,75,14,1392,4.1,10.5,0.386,1.9,5.2,0.371,2.1,5.3,0.4,1.4,1.7,0.821,0.5,2.6,3.0,5.4,1.5,0.2,3.3,2.6,11.5,2004,10.9,0.509,17.9,0.1,0.7,0.7,0.026,-1.5,-1.2,-2.7,-0.2,,13.0,0.305,201,18.56
130,Keith Bogans,SF,23,ORL,73,36,1787,3.7,9.1,0.403,1.3,3.8,0.358,2.3,5.4,0.434,1.3,2.1,0.631,2.1,4.3,6.4,2.0,0.9,0.2,1.5,2.6,10.0,2004,11.0,0.499,14.5,1.3,0.0,1.3,0.034,-0.5,-2.0,-2.4,-0.2,,15.0,0.256,252,24.47945205479452
131,Žarko Čabarkapa,PF,22,PHO,49,4,570,5.1,12.4,0.411,0.4,2.0,0.188,4.7,10.4,0.455,2.2,3.3,0.66,1.6,4.6,6.3,2.5,0.6,0.8,3.4,4.7,12.8,2004,8.4,0.461,21.7,-0.7,0.3,-0.4,-0.037,-4.2,-1.4,-5.7,-0.5,,13.0,0.354,154,11.63265306122449
132,Marquis Daniels,SG,23,DAL,56,15,1039,7.0,14.2,0.494,0.4,1.2,0.306,6.7,13.0,0.512,2.1,2.7,0.769,2.3,2.8,5.1,4.0,1.8,0.4,1.5,1.8,16.5,2004,20.1,0.536,20.6,2.7,0.4,3.2,0.146,2.7,-0.4,2.3,1.1,0.002,5.0,0.634,64,18.553571428571427
133,Boris Diaw,SG,21,ATL,76,37,1919,2.6,5.9,0.447,0.1,0.5,0.231,2.5,5.4,0.467,1.1,1.7,0.602,2.1,4.3,6.4,3.4,1.1,0.7,2.4,3.6,6.4,2004,8.8,0.483,11.4,-0.3,1.1,0.8,0.021,-2.4,0.1,-2.3,-0.2,,12.0,0.341,304,25.25
134,Ronald Dupree,SF,23,CHI,47,8,893,4.5,11.4,0.394,0.2,0.4,0.444,4.3,11.0,0.392,2.7,4.2,0.629,2.2,4.5,6.7,2.2,1.3,0.7,2.1,5.4,11.8,2004,9.7,0.445,19.0,-0.4,0.9,0.5,0.028,-4.1,-0.1,-4.3,-0.5,,14.0,0.28,191,19.0
135,Francisco Elson,C,27,DEN,62,14,875,3.9,8.2,0.472,0.0,0.0,0.0,3.9,8.1,0.475,1.2,1.9,0.667,2.7,5.7,8.4,1.3,1.4,1.6,1.4,6.0,9.0,2004,11.2,0.498,12.7,0.6,1.2,1.8,0.097,-3.2,1.4,-1.8,0.0,,8.0,0.524,271,14.112903225806452
136,T.J. Ford,PG,20,MIL,55,55,1472,3.7,9.7,0.384,0.1,0.5,0.238,3.6,9.2,0.393,2.0,2.4,0.816,0.9,3.4,4.3,8.7,1.5,0.1,3.4,3.0,9.6,2004,12.1,0.443,17.9,-0.2,0.9,0.7,0.022,-1.7,-0.6,-2.4,-0.1,,6.0,0.5,261,26.763636363636362
137,Richie Frahm,SF,26,SEA,54,0,469,4.8,10.7,0.453,2.6,7.1,0.37,2.2,3.6,0.617,1.8,2.0,0.885,0.9,3.4,4.3,1.8,1.2,0.3,0.5,3.8,14.0,2004,15.7,0.608,15.5,1.4,0.1,1.5,0.152,1.9,-0.6,1.4,0.4,,12.0,0.451,112,8.685185185185185
138,Willie Green,SG,22,PHI,53,0,767,6.7,16.8,0.401,0.9,2.9,0.311,5.8,13.9,0.419,2.8,3.8,0.728,0.8,2.3,3.1,2.5,1.2,0.2,2.8,3.9,17.1,2004,10.8,0.464,27.7,-0.7,0.6,0.0,-0.003,-2.6,-1.2,-3.8,-0.3,,11.0,0.402,52,14.471698113207546
139,Udonis Haslem,PF,23,MIA,75,24,1795,4.1,9.0,0.459,0.0,0.1,0.0,4.1,8.9,0.462,2.8,3.7,0.765,3.8,5.7,9.5,1.0,0.7,0.5,1.5,4.0,11.0,2004,13.7,0.521,15.8,2.7,2.1,4.8,0.128,-1.1,-0.9,-2.0,0.0,,4.0,0.512,222,23.933333333333334
140,Jarvis Hayes,SF,22,WAS,70,42,2044,4.9,12.2,0.4,0.7,2.3,0.305,4.2,9.9,0.422,1.4,1.7,0.786,1.3,3.4,4.6,1.9,1.3,0.2,1.9,2.8,11.9,2004,9.4,0.456,18.4,-0.6,1.1,0.5,0.012,-3.0,-1.0,-4.0,-1.1,,13.0,0.305,187,29.2
141,Kirk Hinrich,PG,23,CHI,76,66,2706,4.2,10.9,0.386,1.9,4.9,0.39,2.3,6.0,0.383,1.8,2.2,0.804,0.6,2.9,3.4,6.9,1.3,0.3,2.7,3.7,12.2,2004,13.1,0.51,18.2,2.1,1.9,4.1,0.072,-0.5,-0.4,-0.8,0.8,0.007,14.0,0.28,175,35.60526315789474
142,Josh Howard,SF,23,DAL,67,29,1589,5.2,12.1,0.43,0.5,1.5,0.303,4.7,10.6,0.448,2.2,3.1,0.703,3.4,5.0,8.3,2.2,1.6,1.2,1.5,3.8,13.0,2004,15.7,0.485,18.2,2.3,1.2,3.5,0.104,0.2,-0.2,-0.1,0.8,,5.0,0.634,147,23.71641791044776
143,LeBron James,SG,19,CLE,79,79,3122,7.2,17.2,0.417,0.7,2.5,0.29,6.4,14.7,0.438,4.0,5.3,0.754,1.1,3.8,5.0,5.4,1.5,0.7,3.1,1.7,19.1,2004,18.3,0.488,28.2,2.4,2.6,5.1,0.078,2.3,-0.6,1.7,2.9,0.861,9.0,0.427,25,39.51898734177215
