,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,PER,TS%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Share,Seed,WL,SS,MPG
16,Corey Maggette,SF,20,ORL,77,5,1370,5.9,12.3,0.478,0.1,0.3,0.182,5.8,12.0,0.485,5.2,6.9,0.751,3.2,4.7,8.0,1.6,0.6,0.7,3.6,4.4,17.0,2000,14.1,0.553,22.1,1.2,1.4,2.6,0.091,-1.5,-1.0,-2.5,-0.2,,9.0,0.5,59,17.792207792207794
17,Shawn Marion,SF,21,PHO,51,38,1260,6.3,13.5,0.471,0.1,0.6,0.182,6.2,12.8,0.486,2.1,2.4,0.847,3.0,6.5,9.5,2.0,1.1,1.5,1.5,3.2,14.9,2000,17.1,0.511,19.6,1.7,2.4,4.1,0.158,0.3,0.9,1.3,1.0,,5.0,0.646,118,24.705882352941178
18,Andre Miller,PG,23,CLE,82,36,2093,5.8,13.0,0.449,0.2,0.8,0.204,5.7,12.1,0.466,3.9,5.0,0.774,1.5,3.4,4.8,8.2,1.4,0.3,2.9,3.3,15.7,2000,17.9,0.517,21.8,3.5,1.8,5.3,0.122,1.9,0.0,1.9,2.1,0.017,11.0,0.39,95,25.524390243902438
19,Lamar Odom,SF,20,LAC,76,70,2767,5.8,13.3,0.438,0.8,2.1,0.36,5.1,11.2,0.453,3.9,5.5,0.719,2.1,5.7,7.7,4.1,1.2,1.2,3.4,3.8,16.4,2000,16.8,0.521,23.5,1.7,1.5,3.2,0.055,0.8,-0.2,0.6,1.8,0.025,14.0,0.183,74,36.4078947368421
20,Scott Padgett,PF,23,UTA,47,9,432,3.7,11.7,0.314,1.1,3.7,0.295,2.6,8.0,0.323,1.6,2.3,0.704,2.0,5.3,7.3,2.1,1.2,0.7,1.8,4.6,10.0,2000,7.6,0.395,18.6,-0.5,0.6,0.1,0.013,-4.0,-0.5,-4.5,-0.3,,2.0,0.671,258,9.191489361702128
21,Milt Palacio,PG,21,VAN,53,0,394,3.9,9.0,0.439,0.0,0.2,0.0,3.9,8.8,0.448,2.0,3.4,0.595,1.6,3.1,4.7,4.4,1.8,0.0,4.0,2.9,9.9,2000,8.8,0.473,18.3,-0.5,0.2,-0.3,-0.041,-4.0,-0.4,-4.4,-0.2,,12.0,0.268,260,7.433962264150943
22,James Posey,SF,23,DEN,81,77,2052,4.0,9.4,0.429,1.4,3.9,0.373,2.6,5.5,0.468,2.1,2.6,0.8,1.5,4.1,5.6,2.6,1.7,0.6,1.7,3.6,11.6,2000,13.0,0.55,14.8,2.5,1.9,4.3,0.101,-0.5,1.2,0.7,1.4,,10.0,0.427,221,25.333333333333332
23,Eddie Robinson,SF,23,CHH,67,8,1112,6.9,12.5,0.549,0.0,0.1,0.0,6.9,12.4,0.555,1.5,2.1,0.734,1.7,4.2,6.0,1.0,1.6,0.8,1.3,2.2,15.2,2000,16.4,0.569,18.3,1.5,1.5,3.0,0.13,0.4,0.2,0.6,0.7,,5.0,0.598,111,16.597014925373134
24,Michael Ruffin,PF,23,CHI,71,6,975,2.1,5.1,0.42,0.0,0.0,,2.1,5.1,0.42,1.6,3.2,0.489,4.3,4.9,9.2,1.6,1.0,1.0,2.2,6.3,5.9,2000,7.8,0.45,11.1,-0.4,1.0,0.6,0.032,-5.0,-0.4,-5.4,-0.8,,15.0,0.207,308,13.732394366197184
25,Wally Szczerbiak,SF,22,MIN,73,53,2171,5.7,11.1,0.511,0.5,1.3,0.359,5.2,9.8,0.531,2.2,2.7,0.826,1.5,3.0,4.5,3.3,1.0,0.4,1.4,2.9,14.0,2000,15.4,0.571,17.1,4.5,1.7,6.2,0.137,1.0,-0.1,0.9,1.6,,6.0,0.61,143,29.73972602739726
26,Jason Terry,PG,22,ATL,81,27,1888,4.7,11.4,0.415,0.9,3.0,0.293,3.9,8.4,0.458,2.2,2.7,0.807,0.5,2.7,3.2,6.6,1.7,0.2,3.0,2.5,12.5,2000,13.9,0.497,19.2,0.9,0.9,1.9,0.047,-0.4,-0.6,-1.0,0.5,,14.0,0.341,194,23.308641975308642
