,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Shoo,Shoo,Shoo,-additional
Player,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Juancho Hernangómez,4.6,10.7,2.0,5.9,2.1,3.3,1.9,8.0,1.8,1.0,0.6,1.3,2.2,13.3,.432,.341,.624,hernaju01
Willy Hernangómez,6.9,13.2,0.3,1.1,3.8,5.1,5.2,13.5,2.7,0.9,0.8,2.0,3.6,18.0,.525,.313,.743,hernawi01
Tyler Herro,7.9,17.4,2.8,7.0,2.9,3.3,0.6,5.8,4.3,0.8,0.2,2.6,1.6,21.4,.454,.397,.856,herroty01
Buddy Hield,6.4,15.7,3.9,10.3,1.6,1.8,0.8,5.1,3.5,1.0,0.4,2.2,2.7,18.2,.408,.374,.857,hieldbu01
Haywood Highsmith,4.8,11.6,1.9,5.7,1.5,2.2,1.9,6.2,2.5,0.8,0.7,1.4,2.9,13.1,.416,.340,.686,highsha01
George Hill,4.1,9.1,1.4,4.2,1.9,2.2,1.1,4.4,3.7,1.2,0.2,1.4,2.1,11.4,.447,.338,.861,hillge01
Malcolm Hill,5.0,10.7,2.1,5.7,2.2,2.8,1.7,6.3,2.4,1.2,0.6,1.2,3.6,14.2,.463,.360,.782,hillma01
Solomon Hill,3.0,8.0,1.6,5.0,1.0,1.4,1.1,5.4,2.4,1.2,0.4,1.2,3.0,8.6,.371,.319,.762,hillso01
Nate Hinton,6.1,13.9,1.8,5.6,2.6,3.4,1.2,6.0,3.6,1.5,0.7,2.1,2.8,16.7,.443,.331,.765,hintona01
Jaylen Hoard,6.1,12.3,1.1,3.4,2.1,3.2,3.1,9.6,2.9,1.2,0.7,1.6,2.4,15.4,.493,.329,.648,hoardja01
Aaron Holiday,5.4,12.5,1.7,4.5,2.1,2.5,0.7,4.0,4.8,1.4,0.4,2.2,3.0,14.5,.430,.379,.844,holidaa01
Jrue Holiday,7.7,15.6,2.1,5.3,2.2,2.9,1.2,5.0,7.0,1.7,0.6,2.8,2.2,19.6,.491,.394,.759,holidjr01
Justin Holiday,4.5,11.1,2.9,7.9,1.0,1.3,0.6,3.8,2.2,1.1,0.6,1.1,2.6,12.8,.401,.369,.794,holidju01
Richaun Holmes,6.9,10.9,0.2,0.5,2.5,3.2,3.0,10.1,1.9,0.7,1.6,1.7,4.3,16.4,.632,.338,.785,holmeri01
Rodney Hood,3.7,9.4,1.5,4.6,1.1,1.3,0.9,4.2,2.1,0.9,0.3,1.0,2.2,9.9,.390,.333,.840,hoodro01
Scotty Hopson,5.8,12.6,1.7,4.9,2.3,2.9,1.4,6.1,3.5,1.0,0.6,2.3,2.9,15.5,.459,.335,.771,hopsosc01
Al Horford,5.2,11.5,1.7,5.1,1.4,1.7,1.8,8.9,4.2,0.9,1.4,1.3,2.4,13.6,.453,.337,.819,horfoal01
Talen Horton-Tucker,5.8,13.0,1.2,4.2,2.5,3.2,0.9,4.9,4.2,1.5,0.7,2.2,3.4,15.3,.444,.291,.797,hortota01
Danuel House Jr.,4.3,10.4,2.2,6.0,1.9,2.6,0.9,5.4,2.3,1.0,0.7,1.5,2.6,12.7,.415,.362,.738,houseda01
Dwight Howard,5.2,8.8,0.4,0.9,3.4,5.5,4.5,13.8,1.6,1.1,1.5,2.4,5.0,14.0,.588,.387,.609,howardw01
Markus Howard,7.2,17.3,3.8,10.2,2.9,3.5,0.8,4.4,2.7,1.3,0.3,2.0,3.3,21.1,.415,.370,.833,howarma02
Kevin Huerter,5.6,12.5,2.6,6.6,0.9,1.1,0.6,4.3,3.7,1.1,0.4,1.5,2.9,14.7,.453,.387,.803,huertke01
Jay Huff,5.5,12.3,1.7,5.0,2.3,2.9,1.6,6.8,3.5,1.2,0.8,2.0,2.8,15.0,.447,.333,.779,huffja01
Elijah Hughes,4.6,12.5,2.2,7.4,1.2,1.5,0.8,5.4,2.4,1.1,0.7,1.7,3.0,12.6,.372,.294,.779,hugheel01
Feron Hunt,5.9,12.9,1.8,5.0,2.5,3.1,1.7,6.7,3.8,1.3,0.7,2.1,2.9,16.1,.456,.363,.781,huntfe01
De'Andre Hunter,5.9,13.0,1.7,4.7,2.9,3.7,0.7,4.7,1.9,0.9,0.5,1.6,3.4,16.4,.451,.372,.786,huntede01
Chandler Hutchison,5.0,11.5,1.2,3.3,2.6,3.4,1.0,7.5,2.6,1.3,0.6,2.2,3.1,13.8,.436,.359,.751,hutchch01
Bones Hyland,6.4,15.3,3.5,9.3,3.0,3.5,0.5,5.5,5.2,1.2,0.6,2.3,4.0,19.3,.420,.376,.853,hylanbo01
Serge Ibaka,6.6,13.3,1.5,4.3,1.6,2.2,2.5,9.9,2.3,0.5,1.4,1.9,3.7,16.3,.496,.360,.751,ibakase01
Andre Iguodala,3.0,7.7,1.4,4.7,0.9,1.3,1.2,5.9,4.9,1.5,1.1,1.8,2.4,8.3,.389,.285,.702,iguodan01
Joe Ingles,4.4,10.1,2.8,7.2,1.1,1.4,0.5,4.5,5.5,0.8,0.2,2.0,2.6,12.7,.440,.388,.806,inglejo01
Brandon Ingram,8.7,18.6,1.9,5.2,5.0,5.9,0.7,6.0,5.5,0.7,0.6,2.8,2.3,24.3,.469,.363,.846,ingrabr01
Kyrie Irving,9.7,20.1,3.0,7.4,3.8,4.2,0.8,4.7,5.7,1.4,0.6,2.4,2.7,26.2,.483,.406,.910,irvinky01
Wes Iwundu,3.7,9.0,1.0,3.4,2.2,2.7,1.1,5.9,1.9,1.0,0.4,1.3,3.2,10.6,.411,.299,.802,iwundwe01
Frank Jackson,6.2,14.6,2.7,7.9,2.7,3.4,0.7,3.5,2.0,0.8,0.3,1.4,2.7,17.8,.426,.338,.819,jacksfr01
Isaiah Jackson,7.5,13.6,0.7,2.0,3.7,5.3,3.5,9.4,1.4,1.6,2.9,2.4,5.2,19.5,.554,.349,.707,jacksis01
Jaren Jackson Jr.,7.4,17.1,2.3,6.9,4.6,5.6,2.0,7.6,1.7,1.2,2.8,2.1,4.5,21.7,.433,.336,.822,jacksja02
Josh Jackson,6.1,14.5,1.7,5.7,3.0,4.1,1.2,6.1,2.9,1.2,1.0,2.6,3.8,16.9,.421,.290,.731,jacksjo02
Justin Jackson,5.4,13.1,2.0,6.4,2.0,2.4,1.1,5.5,2.9,0.8,0.3,1.6,2.4,14.9,.414,.319,.826,jacksju01
Reggie Jackson,6.9,17.3,2.6,7.4,2.0,2.4,0.6,4.3,5.2,0.9,0.2,2.4,2.6,18.5,.402,.347,.835,jacksre01
LeBron James,10.3,20.3,2.6,7.3,4.2,5.7,1.0,7.8,6.8,1.2,0.8,3.6,2.1,27.2,.506,.350,.727,jamesle01
DeJon Jarreau,6.1,13.1,1.9,5.2,2.5,3.3,1.6,6.7,3.7,1.1,0.7,2.0,2.9,16.6,.467,.359,.779,jarrede01
DaQuan Jeffries,4.7,10.5,1.6,4.9,1.3,1.6,1.4,5.8,2.5,1.1,0.7,1.4,3.3,12.4,.451,.324,.804,jeffrda01
Ty Jerome,5.7,14.0,2.6,7.7,1.7,2.1,0.8,4.2,5.0,1.2,0.3,1.8,3.1,15.7,.409,.338,.794,jeromty01
Isaiah Joe,4.3,11.3,2.8,7.8,1.9,2.2,0.6,4.0,2.4,1.0,0.3,1.2,2.8,13.3,.385,.354,.860,joeis01
Alize Johnson,5.4,11.2,0.8,2.6,2.1,2.9,4.1,11.7,2.8,1.1,0.5,2.2,3.3,13.8,.488,.301,.750,johnsal02
B.J. Johnson,6.0,13.4,1.9,5.2,2.0,2.5,2.0,7.1,2.6,0.8,0.6,1.5,2.7,15.8,.447,.368,.788,johnsbj01
Cameron Johnson,5.6,12.4,3.2,8.0,1.8,2.2,0.9,5.6,2.2,1.1,0.4,1.0,2.3,16.3,.452,.403,.848,johnsca02
David Johnson,6.2,13.2,1.9,5.3,2.6,3.3,1.6,6.7,3.7,1.2,0.7,2.0,2.8,16.8,.468,.352,.784,johnsda08
Jalen Johnson,6.5,12.8,1.5,4.6,2.2,2.8,1.2,7.3,2.6,1.1,0.7,2.3,2.8,16.6,.505,.323,.766,johnsja05
James Johnson,4.7,10.3,0.9,3.4,1.2,2.1,1.4,6.3,3.7,1.1,1.1,1.7,4.6,11.6,.455,.280,.582,johnsja01
Joe Johnson,6.0,13.2,1.8,5.2,2.4,3.2,1.5,6.4,3.5,1.1,0.7,2.1,3.0,16.3,.457,.342,.765,johnsjo02
Keldon Johnson,6.9,14.4,2.0,5.2,2.7,3.6,1.4,7.2,2.4,0.9,0.3,1.4,2.3,18.6,.480,.396,.761,johnske04
Keon Johnson,5.3,13.8,1.8,5.1,2.3,2.8,1.3,4.8,4.0,1.4,0.7,2.2,3.3,14.8,.388,.357,.808,johnske07
Stanley Johnson,3.9,8.8,1.3,4.0,1.8,2.4,1.1,5.4,2.9,1.5,0.5,1.5,3.7,11.0,.445,.327,.743,johnsst04
Tyler Johnson,4.3,10.7,2.2,6.2,1.4,1.7,0.8,4.7,3.0,0.9,0.4,1.3,2.6,12.2,.402,.356,.814,johnsty01
Nikola Jokić,10.6,18.5,1.4,4.0,5.1,6.2,2.9,13.2,8.3,1.5,0.8,3.7,2.8,27.7,.572,.350,.827,jokicni01
Carlik Jones,5.6,13.2,1.6,4.8,2.6,3.3,1.6,6.5,4.2,1.2,0.6,2.3,2.5,15.4,.422,.345,.805,jonesca03
Damian Jones,5.8,9.2,0.4,1.3,3.1,4.3,2.5,8.4,2.4,0.9,1.6,1.9,4.6,15.2,.635,.343,.727,jonesda03
Derrick Jones Jr.,4.4,8.6,1.1,3.2,2.1,2.8,2.2,6.4,1.5,1.1,1.3,1.1,3.7,12.0,.516,.327,.753,jonesde02
Herbert Jones,4.4,9.2,1.0,2.8,2.2,2.6,1.5,4.8,2.7,2.0,0.9,1.6,3.6,12.0,.482,.346,.839,joneshe01
Jemerrio Jones,6.0,12.6,1.7,4.8,2.3,3.0,1.8,6.7,3.4,1.2,0.6,1.9,3.1,16.0,.473,.356,.776,jonesje01
Kai Jones,5.9,11.7,1.5,4.1,2.4,3.6,1.6,6.7,3.4,1.0,0.8,2.4,3.3,15.8,.507,.376,.647,joneska01
Mason Jones,5.8,12.8,2.1,5.7,4.2,5.8,1.1,6.5,4.0,1.0,0.4,2.3,3.1,17.9,.454,.364,.711,jonesma05
Tre Jones,5.4,10.9,0.5,1.9,2.3,2.9,1.0,5.0,6.8,1.3,0.3,1.5,2.4,13.6,.494,.267,.796,jonestr01
Tyus Jones,5.7,12.7,1.7,4.5,1.3,1.6,0.5,4.2,7.4,1.6,0.1,1.3,1.0,14.5,.452,.376,.827,jonesty01
DeAndre Jordan,5.4,8.3,0.2,0.5,1.6,2.7,3.8,13.2,2.2,0.6,1.7,2.3,3.6,12.6,.651,.349,.575,jordade01
Cory Joseph,4.3,9.6,1.4,3.5,2.0,2.4,0.8,4.1,5.2,1.1,0.4,1.9,3.3,12.0,.448,.383,.857,josepco01
Georgios Kalaitzakis,5.7,12.1,1.8,4.7,2.5,4.3,1.3,5.0,2.8,1.6,0.5,2.7,3.0,15.6,.470,.377,.578,kalaige01
Frank Kaminsky,6.4,13.2,1.5,4.4,2.5,3.5,1.8,8.4,3.5,1.0,0.9,1.4,3.2,16.8,.481,.351,.728,kaminfr01
Luke Kennard,5.6,12.1,3.3,7.4,1.3,1.5,0.5,4.5,3.0,0.8,0.2,1.3,2.1,15.8,.459,.446,.875,kennalu01
Braxton Key,6.1,13.1,1.5,4.5,1.9,2.8,2.0,8.1,2.8,1.5,1.4,2.0,3.9,15.6,.466,.327,.670,keybr01
George King,5.4,12.8,1.7,5.5,2.5,3.3,1.4,6.9,3.3,1.0,0.6,2.0,3.4,15.0,.425,.303,.741,kingge03
Louis King,6.0,14.2,2.2,6.5,2.5,3.2,1.1,6.1,3.6,1.3,0.7,1.3,3.7,16.7,.422,.339,.765,kinglo02
Corey Kispert,4.9,10.5,2.3,6.3,1.2,1.4,1.1,4.5,1.9,0.8,0.5,1.1,1.9,13.3,.466,.359,.859,kispeco01
Maxi Kleber,3.7,8.8,2.1,6.1,1.2,1.6,1.6,7.9,1.8,0.7,1.3,1.1,3.2,10.7,.415,.351,.769,klebima01
Brandon Knight,5.6,13.3,2.3,7.3,2.7,3.4,0.9,5.3,4.2,0.9,0.4,2.4,3.0,16.1,.418,.316,.797,knighbr03
Nathan Knight,5.8,12.5,1.0,3.4,4.9,6.5,3.3,9.6,2.7,1.1,1.0,2.2,4.1,17.6,.467,.296,.762,knighna01
Kevin Knox,5.0,12.5,2.3,6.8,2.1,2.9,1.4,6.1,2.1,0.9,0.6,1.4,3.0,14.5,.401,.343,.738,knoxke01
John Konchar,4.1,8.1,1.5,3.6,1.1,1.6,2.3,8.8,3.1,1.4,0.6,1.0,2.5,10.8,.510,.404,.652,konchjo01
Furkan Korkmaz,5.2,12.7,2.5,7.3,1.9,2.4,0.6,4.5,3.0,1.1,0.3,1.4,1.8,14.7,.407,.336,.784,korkmfu01
Luke Kornet,5.2,11.4,1.4,5.1,1.4,1.9,2.1,7.2,2.9,0.8,1.8,1.0,2.8,13.2,.455,.280,.717,kornelu01
