,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Per,Shoo,Shoo,Shoo,-additional
Player,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,-9999
Alfonzo McKinnie,5.3,11.8,1.7,4.9,1.3,2.2,2.2,6.5,1.6,0.9,0.5,1.4,3.9,13.6,.447,.341,.599,mckinal01
JaQuori McLaughlin,5.8,12.7,1.8,5.1,2.4,3.1,1.5,6.3,3.9,1.1,0.7,1.9,2.9,15.7,.452,.345,.779,mclauja01
Jordan McLaughlin,4.0,9.0,1.3,3.7,1.3,1.7,0.9,4.1,7.0,2.1,0.4,1.7,2.1,10.6,.443,.343,.755,mclaujo01
Ben McLemore,5.8,14.5,3.9,10.9,1.8,2.3,0.5,3.5,1.7,1.0,0.3,1.6,3.1,17.4,.402,.362,.791,mclembe01
De'Anthony Melton,6.1,14.4,2.8,7.4,2.0,2.6,1.3,6.9,4.4,2.2,0.9,2.4,2.8,17.0,.422,.384,.767,meltode01
Sam Merrill,5.6,12.8,2.8,7.4,1.7,2.2,1.2,5.6,3.4,1.0,0.4,1.7,2.6,15.6,.436,.375,.748,merrisa01
Chimezie Metu,6.0,12.8,1.5,4.8,2.1,2.8,1.2,9.1,2.0,1.4,1.0,1.8,2.9,15.6,.469,.320,.774,metuch01
Khris Middleton,7.8,17.1,2.6,6.7,3.9,4.4,0.8,6.2,5.8,1.2,0.3,3.0,2.7,22.0,.455,.384,.889,middlkh01
C.J. Miles,5.7,13.1,1.9,5.4,2.7,3.5,1.4,6.0,3.4,1.3,0.7,2.0,3.3,15.9,.434,.343,.764,milescj01
Patty Mills,5.1,12.6,3.4,8.8,1.1,1.3,0.4,2.6,3.0,0.8,0.2,1.3,1.9,14.8,.408,.385,.843,millspa02
Paul Millsap,5.4,12.2,1.3,4.1,2.2,3.0,2.7,8.6,2.9,1.3,1.0,1.8,4.4,14.4,.445,.324,.740,millspa01
Shake Milton,6.1,13.7,1.6,4.6,2.5,3.1,0.9,4.3,4.4,0.9,0.5,1.8,3.1,16.4,.447,.348,.827,miltosh01
Davion Mitchell,6.2,14.5,1.8,5.5,1.1,1.6,0.7,3.2,5.4,1.0,0.4,2.0,2.4,15.3,.428,.325,.684,mitchda01
Donovan Mitchell,9.6,21.4,3.5,9.6,4.5,5.3,0.9,4.7,5.5,1.4,0.2,3.0,2.5,27.2,.450,.367,.852,mitchdo01
Evan Mobley,6.7,12.8,0.5,1.7,2.6,3.9,2.2,8.9,2.8,0.9,1.8,2.0,2.3,16.4,.519,.283,.681,mobleev01
Malik Monk,6.7,14.3,2.9,7.4,1.8,2.3,0.7,4.5,3.7,1.0,0.5,2.1,2.3,18.2,.471,.393,.805,monkma01
Greg Monroe,5.9,11.7,0.8,2.4,2.3,3.8,3.7,9.3,3.9,1.3,1.3,2.2,3.8,15.0,.506,.351,.618,monrogr01
Moses Moody,5.2,11.3,2.3,6.2,1.9,2.4,1.2,5.3,1.9,0.6,0.6,1.0,2.5,14.6,.459,.377,.787,moodymo01
Xavier Moon,6.3,13.3,1.6,4.5,1.7,2.4,1.1,5.3,4.9,1.5,0.7,1.8,2.7,15.9,.474,.354,.731,moonxa01
Matt Mooney,6.0,13.1,1.8,5.2,2.6,3.3,1.5,6.6,3.6,1.4,0.7,2.2,2.9,16.4,.457,.343,.778,moonema01
Ja Morant,9.6,19.6,1.5,4.5,5.4,7.1,1.3,5.6,7.7,1.2,0.4,3.5,1.7,26.2,.489,.342,.761,moranja01
Juwan Morgan,4.9,10.2,1.5,4.1,1.7,2.4,1.9,6.6,2.9,0.9,0.5,1.5,3.7,13.1,.483,.365,.717,morgaju01
Jaylen Morris,5.6,13.2,1.7,5.2,2.7,3.8,1.4,6.5,3.8,1.0,0.6,2.1,3.1,15.5,.422,.328,.719,morrija01
Marcus Morris,6.7,15.2,2.6,6.5,2.6,3.1,0.8,5.6,2.2,0.7,0.4,1.6,2.8,18.6,.441,.398,.846,morrima03
Markieff Morris,5.4,12.6,1.9,5.9,1.4,1.8,1.5,6.9,2.5,0.8,0.5,2.0,3.5,14.2,.432,.331,.768,morrima02
Monte Morris,5.9,12.3,1.9,4.8,1.4,1.7,0.5,3.6,5.2,1.0,0.3,1.2,1.6,15.1,.482,.392,.839,morrimo01
Emmanuel Mudiay,6.1,13.3,1.5,4.3,2.9,3.8,1.1,5.9,4.6,1.2,0.6,2.6,3.0,16.6,.457,.357,.767,mudiaem01
Mychal Mulder,5.1,12.3,3.1,8.5,1.1,1.4,0.6,3.9,1.6,0.7,0.5,1.2,2.5,14.3,.413,.366,.756,muldemy01
Ade Murkey,6.1,13.1,1.9,5.2,2.5,3.3,1.6,6.7,3.7,1.1,0.7,2.0,2.9,16.6,.467,.359,.779,murkead01
Trey Murphy III,4.9,11.7,2.8,7.3,2.0,2.3,1.9,6.4,2.0,1.0,0.4,0.9,2.5,14.7,.417,.390,.863,murphtr02
Dejounte Murray,8.1,17.6,1.3,4.0,2.6,3.2,1.2,8.4,8.1,2.0,0.3,2.5,2.2,20.2,.463,.331,.795,murrade01
Mike Muscala,6.5,14.5,3.7,9.3,2.4,2.9,1.2,7.4,1.8,0.9,1.1,1.1,3.3,19.1,.448,.399,.844,muscami01
Svi Mykhailiuk,5.2,12.6,2.5,7.4,1.5,1.8,0.9,4.6,2.8,1.3,0.3,1.9,2.3,14.4,.413,.340,.818,mykhasv01
Abdel Nader,5.1,11.2,1.7,4.6,2.3,3.1,1.0,6.0,2.3,1.3,0.9,2.1,3.6,14.1,.450,.365,.735,naderab01
Larry Nance Jr.,4.7,9.3,1.1,3.2,1.4,2.0,2.2,8.3,3.1,1.6,0.6,1.5,2.7,11.8,.501,.344,.688,nancela02
RJ Nembhard Jr.,5.4,12.3,1.4,4.1,2.4,3.0,1.6,6.0,4.6,1.0,0.5,1.9,2.4,14.6,.442,.335,.777,nembhrj01
Aaron Nesmith,4.8,11.1,2.0,6.4,1.5,1.9,1.2,6.3,1.7,1.1,0.4,1.7,4.2,13.0,.429,.317,.801,nesmiaa01
Raul Neto,5.4,11.7,1.2,3.7,2.1,2.6,0.5,3.9,4.9,1.5,0.2,1.9,2.8,14.1,.462,.336,.799,netora01
Malik Newman,6.5,13.6,1.8,5.2,2.9,3.6,1.5,6.6,3.7,1.1,0.7,2.2,2.8,17.6,.475,.343,.808,newmama01
Georges Niang,5.3,12.0,3.3,8.1,1.1,1.2,0.7,4.7,2.1,0.7,0.3,1.4,3.8,14.9,.438,.405,.871,niangge01
Daishen Nix,4.8,10.7,1.4,4.2,2.4,3.8,1.2,5.5,5.0,1.8,0.3,2.9,2.8,13.3,.446,.324,.629,nixda01
Zeke Nnaji,5.2,10.1,2.0,4.5,2.0,3.0,2.4,7.3,1.4,0.9,0.6,1.2,3.5,14.4,.511,.443,.680,nnajize01
Nerlens Noel,3.4,5.9,0.2,0.6,1.5,2.1,3.0,9.1,1.5,1.7,2.6,1.6,4.2,8.5,.575,.302,.727,noelne01
Jaylen Nowell,7.1,15.1,2.3,6.1,2.6,3.2,0.9,4.8,4.3,1.0,0.5,1.4,2.8,19.1,.469,.378,.799,nowelja01
Frank Ntilikina,4.6,11.2,2.0,5.4,1.5,1.8,0.8,4.4,3.8,1.5,0.5,1.7,3.5,12.7,.413,.367,.824,ntilila01
Jusuf Nurkić,7.2,13.7,0.5,1.6,3.8,5.6,3.6,13.4,3.9,1.4,1.0,3.1,4.2,18.6,.525,.308,.685,nurkiju01
David Nwaba,5.3,11.1,1.1,3.4,2.7,3.7,2.1,7.7,2.1,1.5,1.1,1.3,3.2,14.4,.480,.310,.713,nwabada01
Jordan Nwora,6.0,14.2,2.5,6.8,1.4,1.7,1.2,6.9,2.0,0.9,0.6,1.9,2.4,15.9,.423,.367,.814,nworajo01
Royce O'Neale,3.1,6.8,1.7,4.6,0.7,0.9,1.1,6.3,2.9,1.2,0.5,1.3,2.9,8.6,.451,.384,.805,onealro01
Semi Ojeleye,3.4,9.0,1.8,5.2,1.5,1.9,1.6,6.0,1.5,0.7,0.3,1.0,2.5,10.2,.383,.348,.785,ojelese01
Chuma Okeke,4.6,11.5,2.2,6.7,1.2,1.5,1.1,6.9,2.7,1.9,0.8,1.2,1.9,12.6,.398,.332,.821,okekech01
Josh Okogie,3.6,8.4,1.0,3.5,2.7,3.6,1.9,5.3,2.1,1.7,0.8,1.6,3.5,10.9,.425,.298,.753,okogijo01
Onyeka Okongwu,5.9,9.0,0.2,0.6,2.8,3.8,3.9,10.0,2.0,1.2,2.0,1.6,5.1,14.7,.653,.349,.724,okongon01
Isaac Okoro,4.0,8.6,1.1,3.2,2.1,2.8,1.3,3.8,2.3,1.1,0.4,1.2,2.9,11.3,.469,.339,.763,okorois01
KZ Okpala,4.4,10.1,1.4,4.2,1.4,1.9,1.6,6.1,2.3,0.8,0.9,1.2,3.8,11.6,.439,.323,.711,okpalkz01
Victor Oladipo,7.3,17.2,2.5,7.3,3.2,4.2,0.6,5.4,4.8,1.3,0.4,2.8,2.7,20.3,.424,.345,.758,oladivi01
Cameron Oliver,6.8,13.1,1.7,4.8,2.0,2.9,1.6,6.8,3.2,1.0,0.9,1.6,3.4,17.4,.521,.351,.711,oliveca01
Kelly Olynyk,5.9,12.8,2.1,6.2,2.8,3.5,1.9,8.4,4.2,1.4,0.8,2.4,4.2,16.8,.463,.346,.802,olynyke01
Eugene Omoruyi,5.9,12.8,1.9,5.1,2.7,3.7,1.8,7.4,3.8,1.0,0.6,1.8,3.0,16.4,.463,.370,.722,omorueu01
Miye Oni,3.7,9.2,1.9,5.8,1.1,1.5,1.5,6.2,2.7,0.8,0.6,1.4,3.8,10.5,.405,.332,.752,onimi01
Cedi Osman,5.7,13.7,2.8,8.0,2.0,2.8,0.8,4.2,3.5,1.2,0.3,1.7,3.0,16.2,.419,.347,.705,osmande01
Daniel Oturu,5.7,12.2,1.2,3.6,2.6,3.5,2.5,8.0,3.0,1.0,1.2,1.8,3.4,15.2,.465,.344,.745,oturuda01
Kelly Oubre Jr.,7.2,16.1,2.8,8.3,2.5,3.6,1.5,6.0,1.6,1.3,0.7,1.4,3.2,19.7,.444,.342,.695,oubreke01
Jaysean Paige,5.8,13.2,1.8,5.5,2.4,3.1,1.5,6.6,3.7,1.1,0.7,2.2,3.2,15.8,.439,.327,.774,paigeja01
Trayvon Palmer,5.5,12.1,1.7,4.8,2.3,3.0,1.4,6.4,3.3,1.0,0.6,2.1,3.0,15.0,.454,.354,.775,palmetr01
Kevin Pangos,4.6,11.6,1.6,5.5,1.6,2.1,1.0,4.5,5.1,0.9,0.3,1.8,2.7,12.4,.401,.289,.768,pangoke01
Jabari Parker,6.9,13.9,1.6,4.6,2.5,3.1,1.9,8.1,2.8,1.2,0.7,2.3,3.5,17.9,.495,.353,.814,parkeja01
Eric Paschall,6.4,13.0,1.5,4.2,3.3,4.3,1.5,5.9,2.4,0.6,0.3,1.7,2.8,17.6,.492,.357,.758,pascher01
Chris Paul,6.4,13.2,1.3,3.9,2.9,3.3,0.4,4.9,10.4,1.8,0.3,2.6,2.5,17.0,.484,.342,.864,paulch01
Cameron Payne,6.6,15.3,2.1,5.8,2.0,2.4,0.7,5.1,7.4,1.2,0.5,2.6,3.3,17.3,.431,.367,.846,payneca01
Elfrid Payton,5.7,13.4,0.6,2.2,1.5,2.5,1.5,5.7,5.9,1.4,0.4,2.7,2.7,13.4,.422,.283,.595,paytoel01
Gary Payton II,6.0,10.3,1.3,3.7,1.2,1.8,2.0,7.1,2.1,2.6,0.6,1.3,3.8,14.5,.586,.354,.637,paytoga02
Norvel Pelle,5.3,11.0,1.2,3.2,2.0,2.8,2.2,7.9,2.6,0.8,1.9,2.2,4.2,13.8,.483,.357,.728,pelleno01
Reggie Perry,6.8,14.0,1.1,3.9,2.1,2.9,2.9,9.2,2.9,1.4,1.0,2.1,5.1,16.7,.483,.279,.712,perryre01
Jamorko Pickett,4.9,11.6,2.3,6.6,1.4,1.8,1.4,6.7,2.6,0.6,1.1,1.5,2.7,13.4,.421,.347,.747,pickeja01
Theo Pinson,4.6,11.9,1.9,6.5,2.2,2.6,1.0,5.8,4.0,1.2,0.6,1.9,3.1,13.4,.387,.297,.871,pinsoth01
Mason Plumlee,4.7,7.7,0.1,0.4,1.8,3.7,3.4,11.2,4.6,1.2,1.1,2.2,4.5,11.4,.609,.283,.500,plumlma01
Jakob Poeltl,6.6,10.9,0.1,0.3,1.6,3.1,4.4,11.1,3.2,0.9,2.2,1.9,3.7,15.0,.610,.390,.513,poeltja01
Aleksej Pokusevski,5.4,13.3,1.8,5.9,1.2,1.6,1.8,8.7,3.7,1.0,1.2,2.8,2.3,13.8,.407,.303,.734,pokusal01
Yves Pons,5.1,11.6,1.8,5.0,1.8,2.6,1.9,6.6,2.8,1.0,1.1,1.6,2.9,13.8,.440,.357,.692,ponsyv01
Jordan Poole,7.4,16.4,3.3,8.9,3.8,4.2,0.6,4.1,4.6,1.0,0.4,2.6,3.1,21.8,.449,.366,.908,poolejo01
Kevin Porter Jr.,6.5,15.0,2.7,7.2,2.5,3.7,0.9,5.1,6.8,1.3,0.4,3.4,2.9,18.2,.432,.374,.682,porteke02
Michael Porter Jr.,7.6,14.9,2.7,6.7,1.9,2.4,1.7,8.4,1.8,0.9,0.9,1.6,2.5,19.8,.510,.404,.778,portemi01
Otto Porter Jr.,5.2,11.5,2.1,5.7,1.5,1.9,2.0,8.9,2.7,1.6,0.7,1.1,2.3,14.1,.456,.370,.805,porteot01
Bobby Portis,7.5,15.4,2.2,5.5,1.6,2.1,3.0,11.3,1.8,1.0,0.8,1.6,3.0,18.8,.488,.404,.753,portibo01
Kristaps Porziņģis,8.4,18.2,2.2,6.5,4.9,5.8,2.3,10.0,2.6,0.8,1.9,1.8,3.3,24.0,.462,.338,.855,porzikr01
Micah Potter,6.1,13.1,1.6,4.8,2.5,3.1,2.1,7.3,3.2,1.2,0.8,1.9,3.1,16.4,.468,.333,.806,pottemi01
Dwight Powell,5.2,8.2,0.4,1.1,3.3,4.2,3.2,8.0,2.1,0.9,0.8,1.4,4.4,14.0,.636,.329,.774,poweldw01
Myles Powell,5.5,12.8,1.6,5.0,2.3,2.8,1.4,6.1,3.3,1.0,0.5,2.0,3.5,14.9,.431,.322,.806,powelmy01
Norman Powell,7.0,14.8,2.6,6.4,4.1,4.9,0.6,3.8,2.3,1.2,0.4,1.8,2.6,20.7,.469,.411,.831,powelno01
Joshua Primo,4.2,10.5,1.7,5.1,1.8,2.4,1.3,4.7,3.2,0.8,0.9,2.0,2.9,12.0,.405,.327,.764,primojo01
Taurean Prince,5.4,12.6,2.6,6.9,2.0,2.6,0.9,5.8,2.4,1.3,0.7,1.8,3.3,15.4,.430,.373,.787,princta02
Payton Pritchard,5.7,12.8,3.2,7.8,1.1,1.2,1.1,4.9,4.4,1.0,0.3,1.5,2.5,15.6,.442,.414,.902,pritcpa01
Trevelin Queen,6.5,14.0,2.7,7.2,2.4,2.9,2.1,7.1,3.2,1.6,0.6,2.4,2.9,18.1,.465,.370,.825,queentr01
Neemias Queta,5.8,12.4,1.1,3.0,2.9,4.1,2.7,7.9,2.9,0.8,1.4,1.9,3.9,15.5,.466,.363,.715,quetane01
Immanuel Quickley,6.0,14.9,2.9,7.9,3.8,4.3,0.7,4.9,5.0,1.1,0.2,1.9,3.2,18.8,.406,.367,.882,quickim01
Jahmi'us Ramsey,6.4,14.2,1.7,5.3,2.3,3.3,1.3,5.2,2.9,0.9,0.5,1.6,2.8,16.7,.446,.324,.684,ramseja01
Julius Randle,7.5,17.5,1.8,5.3,4.4,5.7,1.6,9.9,5.2,0.8,0.5,3.3,3.0,21.2,.430,.339,.771,randlju01
Austin Reaves,4.0,8.6,1.4,4.3,2.6,3.1,1.2,5.2,2.9,0.8,0.5,1.1,2.2,12.0,.467,.329,.836,reaveau01
Cam Reddish,5.6,13.7,2.1,6.2,3.3,3.8,1.0,4.5,2.0,1.6,0.6,1.9,2.5,16.6,.409,.345,.867,reddica01
Davon Reed,4.7,9.6,2.0,4.8,0.9,1.3,0.9,6.0,3.0,1.3,0.5,1.1,3.3,12.4,.494,.415,.723,reedda01
Paul Reed,6.8,12.7,0.7,2.3,1.3,2.1,4.4,10.1,2.6,2.9,1.6,1.6,5.4,15.6,.537,.311,.606,reedpa01
Naz Reid,7.4,14.6,1.7,4.9,3.3,4.4,2.7,8.8,2.2,1.1,2.0,2.1,4.8,19.8,.505,.355,.748,reidna01
Nick Richards,5.8,9.9,0.6,1.6,2.9,4.1,2.8,7.9,2.0,0.9,1.6,2.2,4.3,15.1,.586,.352,.715,richani01
Josh Richardson,5.4,12.4,2.1,5.4,2.2,2.5,1.0,4.2,2.9,1.2,0.6,1.6,2.7,15.0,.434,.378,.878,richajo01
Austin Rivers,4.0,9.5,2.0,5.8,1.0,1.4,0.5,3.3,2.6,1.2,0.2,1.4,2.9,11.1,.422,.348,.726,riverau01
Duncan Robinson,5.2,12.3,4.0,10.3,1.0,1.2,0.4,3.9,2.2,0.7,0.3,1.2,3.3,15.3,.420,.389,.835,robindu01
Justin Robinson,4.2,11.4,2.0,6.4,1.2,1.8,0.8,3.9,3.8,1.1,0.3,1.9,3.1,11.6,.369,.318,.677,robinju01
Mitchell Robinson,5.3,7.4,0.1,0.3,1.7,3.3,5.3,11.5,1.0,1.2,2.4,1.2,3.8,12.5,.715,.367,.521,robinmi01
Jeremiah Robinson-Earl,4.8,11.0,2.0,5.4,1.5,2.0,2.4,9.0,1.9,1.0,0.5,1.4,2.5,13.0,.433,.363,.756,robinje02
Isaiah Roby,6.0,11.8,1.4,3.5,2.7,3.8,2.5,8.4,2.8,1.3,1.1,2.1,3.9,15.9,.506,.394,.709,robyis01
Rajon Rondo,4.2,10.2,1.6,4.5,1.1,1.4,0.9,5.5,8.2,1.5,0.3,3.4,2.7,11.1,.409,.356,.758,rondora01
Derrick Rose,7.6,16.6,1.7,4.5,2.5,2.9,0.9,4.2,5.8,1.3,0.6,2.4,1.4,19.4,.458,.375,.878,rosede01
Terrence Ross,5.9,14.7,2.2,7.0,2.9,3.4,0.5,4.2,2.8,1.0,0.4,1.9,2.0,17.0,.403,.314,.856,rosste01
Terry Rozier,7.5,16.8,3.2,8.4,2.3,2.8,0.8,4.7,4.6,1.3,0.4,1.7,1.8,20.5,.444,.381,.840,roziete01
Ricky Rubio,4.9,12.8,1.7,5.2,3.0,3.5,0.7,5.1,8.4,1.8,0.2,2.8,2.9,14.4,.381,.330,.853,rubiori01
D'Angelo Russell,7.4,17.5,3.2,9.0,3.5,4.3,0.5,3.9,7.6,1.2,0.4,3.0,2.2,21.5,.423,.356,.812,russeda01
Matt Ryan,6.2,13.8,2.0,6.1,2.5,3.2,1.5,6.5,3.6,1.3,0.7,2.0,2.8,16.8,.447,.333,.779,ryanma01
Domantas Sabonis,7.6,13.6,0.7,2.3,4.0,5.4,3.0,12.3,5.8,1.1,0.5,3.2,3.3,19.9,.557,.320,.741,sabondo01
Olivier Sarr,5.4,9.9,1.4,3.3,2.2,2.7,2.6,7.7,2.3,0.7,1.1,1.9,3.9,14.3,.542,.415,.816,sarrol01
Tomáš Satoranský,3.9,9.0,0.9,3.0,1.9,2.3,1.1,4.7,6.9,1.2,0.3,2.2,2.7,10.6,.438,.300,.821,satorto01
Jordan Schakel,5.4,13.1,1.8,5.5,2.5,3.2,1.7,7.2,3.2,1.2,0.6,1.9,2.4,15.1,.412,.323,.805,schakjo01
Admiral Schofield,4.6,10.6,2.0,5.8,1.3,1.7,1.3,6.7,2.3,0.6,0.5,1.6,4.1,12.5,.434,.338,.782,schofad01
Dennis Schröder,6.3,14.4,1.6,4.7,3.3,3.9,0.6,4.2,5.8,1.1,0.2,2.8,3.0,17.5,.438,.346,.846,schrode01
Tre Scott,6.3,13.5,1.8,5.1,2.4,3.1,1.7,6.7,3.5,1.3,0.9,1.9,3.1,16.8,.469,.343,.777,scotttr01
Jay Scrubb,5.9,13.6,1.7,5.4,2.4,3.1,1.1,6.0,2.9,1.3,0.7,2.1,2.7,16.0,.437,.325,.776,scrubja01
Wayne Selden,5.6,12.6,1.9,5.1,2.7,3.7,1.4,6.1,3.5,1.0,0.6,1.8,2.8,15.8,.448,.364,.717,seldewa01
Alperen Şengün,6.2,12.7,0.8,3.0,4.0,5.4,3.3,9.5,4.5,1.4,1.6,3.3,4.8,17.2,.489,.278,.728,sengual01
Collin Sexton,8.6,17.9,1.6,4.6,4.5,5.6,1.1,3.7,3.9,1.1,0.2,2.8,2.6,23.3,.478,.356,.813,sextoco01
Landry Shamet,4.8,11.8,3.1,8.1,1.8,2.1,0.4,3.3,2.7,0.7,0.3,1.1,2.5,14.5,.409,.380,.839,shamela01
Day'Ron Sharpe,7.6,13.6,0.7,2.0,2.4,3.7,5.9,12.7,2.3,1.0,1.2,2.5,4.6,18.2,.557,.351,.649,sharpda01
Pascal Siakam,8.1,17.0,1.2,3.7,4.0,5.2,1.7,7.8,4.7,1.2,0.6,2.5,3.1,21.6,.479,.333,.773,siakapa01
Chris Silva,4.9,9.7,0.9,2.5,3.4,4.4,3.4,10.2,3.1,0.7,1.1,2.8,5.9,14.2,.511,.367,.765,silvach01
Marko Simonovic,5.8,13.5,1.7,5.2,3.6,4.7,2.2,7.4,3.1,1.1,0.8,2.0,3.4,17.0,.432,.336,.762,simonma01
Anfernee Simons,7.0,15.6,3.6,8.8,2.1,2.4,0.6,3.9,4.2,0.7,0.2,2.1,2.6,19.6,.446,.413,.865,simonan01
Zavier Simpson,5.0,11.9,1.0,3.4,1.8,2.1,1.0,5.5,5.0,1.1,0.8,2.0,3.0,12.9,.423,.302,.834,simpsza01
Jericho Sims,3.4,5.7,0.4,1.2,1.2,2.2,3.5,10.1,1.9,0.8,1.3,1.4,3.9,8.4,.591,.361,.546,simsje01
Deividas Sirvydis,5.1,12.5,2.1,6.2,1.9,2.5,1.0,7.2,2.9,1.3,0.6,1.6,3.0,14.3,.411,.337,.741,sirvyde01
Javonte Smart,4.7,11.8,1.7,5.0,1.7,2.1,1.2,5.5,3.3,1.1,0.6,2.0,2.5,12.8,.399,.332,.797,smartja01
Marcus Smart,4.8,11.6,2.0,6.0,2.4,3.0,0.7,4.2,6.2,1.8,0.4,2.4,2.7,13.9,.412,.333,.795,smartma01
Dennis Smith Jr.,4.9,11.6,0.9,2.9,2.2,3.3,1.2,5.3,6.7,2.2,0.8,2.7,3.1,12.9,.420,.305,.676,smithde03
Ish Smith,5.7,13.3,0.9,2.5,0.8,1.2,0.8,4.9,7.0,1.4,0.7,2.2,2.5,13.1,.430,.363,.659,smithis01
Jalen Smith,6.8,13.4,1.6,4.7,2.9,3.8,3.5,11.2,1.4,0.7,1.5,1.7,3.5,18.1,.506,.338,.773,smithja04
Xavier Sneed,5.3,12.4,1.7,5.6,2.1,2.7,1.6,6.5,3.2,0.9,0.6,1.6,2.7,14.4,.430,.302,.778,sneedxa01
Tony Snell,3.4,7.8,2.1,5.1,0.5,0.6,0.7,4.2,1.9,0.7,0.4,0.9,2.8,9.5,.442,.405,.888,snellto01
Jaden Springer,6.2,12.9,1.8,5.0,2.5,3.2,1.7,7.0,3.7,1.1,1.1,2.1,2.7,16.9,.486,.368,.785,sprinja01
Cassius Stanley,5.3,12.5,1.4,4.6,2.5,2.9,1.6,6.0,2.1,1.1,0.6,1.5,3.6,14.6,.428,.304,.856,stanlca01
Nik Stauskas,5.8,13.1,2.2,6.0,2.7,3.7,1.4,5.9,3.3,0.9,0.6,1.8,2.6,16.5,.441,.366,.743,stausni01
Lance Stephenson,6.4,14.1,1.3,4.2,2.7,3.5,0.7,5.7,6.6,1.1,0.3,3.0,4.1,16.8,.452,.308,.783,stephla01
Lamar Stevens,5.5,11.3,0.7,2.5,2.1,2.9,1.7,6.2,1.9,1.1,0.7,1.5,3.6,13.8,.486,.286,.724,stevela01
Isaiah Stewart,5.3,10.0,0.5,1.3,1.6,2.2,4.3,11.9,1.8,0.6,1.7,1.7,4.1,12.8,.532,.347,.728,stewais01
Max Strus,5.8,12.9,3.9,9.7,1.1,1.4,0.6,4.6,2.2,0.7,0.4,1.3,2.7,16.6,.449,.401,.776,strusma01
Jalen Suggs,5.7,14.8,1.3,5.3,3.5,4.4,0.8,5.1,5.7,1.6,0.6,3.6,3.7,16.1,.384,.240,.783,suggsja01
Craig Sword,6.0,12.6,1.7,4.9,2.3,2.9,1.4,5.9,3.5,1.8,0.6,2.0,4.0,15.9,.478,.339,.775,swordcr01
Keifer Sykes,4.8,12.3,1.7,5.6,1.3,1.6,0.7,3.7,3.9,0.8,0.4,2.1,3.2,12.6,.386,.311,.833,sykeske01
Jae'Sean Tate,6.1,12.2,1.1,3.6,2.1,3.0,2.3,7.1,3.7,1.3,0.7,2.2,4.5,15.5,.500,.316,.708,tateja01
Jayson Tatum,9.4,20.2,3.0,8.1,5.0,5.8,1.1,7.9,4.3,1.1,0.6,2.7,2.2,26.7,.462,.373,.856,tatumja01
Terry Taylor,6.8,11.5,0.9,2.5,2.0,2.7,4.3,8.5,2.4,0.8,0.5,1.3,3.0,16.4,.590,.339,.729,taylote01
Garrett Temple,3.9,10.0,1.9,5.8,1.1,1.5,0.8,4.4,2.7,1.2,0.7,1.4,2.8,10.8,.389,.320,.739,templga01
Emanuel Terry,5.5,12.8,1.7,4.7,2.3,3.0,3.0,9.0,3.7,1.2,0.6,2.8,3.4,15.0,.430,.357,.777,terryem01
Tyrell Terry,6.0,12.7,1.6,5.0,2.3,3.1,1.3,6.3,3.8,1.4,0.6,1.9,2.7,15.8,.468,.329,.746,terryty01
Jon Teske,5.9,12.7,1.8,5.0,2.4,3.5,1.5,6.8,3.8,1.3,0.7,1.9,3.0,15.9,.460,.359,.689,teskejo01
Daniel Theis,5.6,10.7,1.2,3.6,1.8,2.6,2.2,8.3,2.1,0.8,1.2,1.6,4.0,14.2,.525,.319,.695,theisda01
Brodric Thomas,4.8,11.2,1.6,5.3,2.6,3.7,1.1,5.7,3.7,1.2,0.8,2.2,3.4,13.7,.424,.303,.705,thomabr01
Cam Thomas,6.8,15.1,1.5,5.3,2.7,3.3,0.6,5.3,2.6,1.1,0.3,1.7,2.1,17.8,.450,.292,.830,thomaca02
Isaiah Thomas,6.8,16.6,2.7,7.7,2.4,2.9,0.7,3.8,4.1,0.8,0.5,2.2,3.3,18.6,.407,.349,.819,thomais02
Matt Thomas,5.0,11.8,2.7,7.2,1.5,1.8,0.6,4.7,2.1,0.7,0.3,1.1,2.0,14.2,.425,.378,.799,thomama02
Klay Thompson,8.8,20.6,4.0,10.4,1.9,2.1,0.7,5.0,3.4,0.7,0.7,1.7,2.2,23.5,.428,.379,.872,thompkl01
Tristan Thompson,5.4,10.6,0.2,0.6,2.2,3.9,4.5,11.4,1.9,0.8,0.9,1.9,3.5,13.3,.513,.337,.569,thomptr01
JT Thor,4.5,9.7,1.4,4.3,2.1,3.0,1.6,6.4,3.1,1.1,1.2,1.6,3.2,12.4,.465,.318,.688,thorjt01
Matisse Thybulle,3.3,7.0,1.1,3.5,0.7,1.0,1.0,3.5,1.8,2.5,1.6,1.0,3.4,8.5,.477,.323,.734,thybuma01
Killian Tillie,4.1,10.8,2.1,6.3,1.1,1.4,1.6,5.2,2.2,1.6,1.1,1.2,4.0,11.4,.380,.327,.748,tilliki02
Xavier Tillman Sr.,5.4,10.9,0.8,2.7,1.9,2.9,2.9,8.3,3.0,2.0,0.9,1.7,3.4,13.6,.500,.288,.670,tillmxa01
Isaiah Todd,5.4,12.9,1.9,6.0,2.1,3.2,1.6,6.6,3.2,1.4,0.8,2.0,2.6,14.8,.417,.325,.662,toddis01
